Computer_Time, BaseRightFront,BaseRightBack, BackRightL1,BackRightL2,Top,BackRightL3,BackRightL4,BackLeftL4,BackLeftL3,BackLeftL2, Middle, BackLeftL1, BaseLeftBack, BaseLeftRight,Posture
16:45:27,171.00,305,17,14,96,264,16,16,13,16,16,15,590,16,11
16:45:29,176.00,310,16,16,92,273,16,15,16,15,16,15,594,16,11
16:45:31,179.00,311,15,16,103,271,15,15,16,16,16,15,593,15,11
16:45:33,177.00,314,16,16,94,264,16,16,16,15,17,16,593,16,11
16:45:42,389.00,311,15,208,16,16,16,16,16,85,15,16,522,15,111
16:45:44,389.00,311,16,216,16,15,16,16,16,85,16,15,523,16,111
16:45:46,390.00,310,16,201,15,15,16,15,15,85,16,16,522,16,111
16:45:48,390.00,313,17,209,16,16,16,17,17,86,16,16,517,16,111
16:45:50,407.00,342,17,239,15,16,16,16,15,84,16,16,567,16,111
16:45:52,401.00,361,16,232,17,16,15,16,15,81,15,17,571,15,111
16:45:54,390.00,310,16,255,15,16,15,16,17,110,15,16,532,16,111
16:45:57,393.00,310,15,214,16,16,15,16,16,85,15,15,529,15,111
16:45:59,392.00,309,15,226,16,16,16,16,16,86,15,16,529,16,111
16:46:01,391.00,309,16,211,15,16,15,16,15,87,16,15,527,16,111
16:46:03,391.00,311,16,200,15,15,16,16,16,87,15,16,528,16,111
16:46:05,391.00,310,15,219,16,16,15,16,15,91,15,16,528,16,111
16:46:07,392.00,310,16,208,16,15,15,15,16,83,15,23,529,15,111
16:46:09,391.00,306,16,203,16,15,16,16,16,86,16,26,526,16,111
16:46:11,391.00,305,16,225,16,15,15,16,17,91,16,15,528,16,111
16:46:14,392.00,280,16,215,16,16,16,15,16,86,16,15,529,15,111
16:46:16,391.00,310,16,216,15,16,15,16,17,88,16,16,528,16,111
16:46:18,392.00,306,16,200,16,15,16,15,15,84,16,22,528,15,111
16:46:41,290.00,16,15,15,119,16,16,117,15,16,16,16,16,16,1111
16:46:44,295.00,15,16,16,102,15,15,144,14,16,16,15,39,15,1111
16:46:46,294.00,16,15,16,128,16,16,107,15,16,16,16,32,17,1111
16:46:48,298.00,16,15,16,118,16,16,119,16,15,16,15,41,16,1111
16:46:50,298.00,16,16,16,115,16,16,120,16,16,16,14,42,16,1111
16:46:52,297.00,16,15,16,122,15,17,117,15,15,16,15,53,15,1111
16:46:54,291.00,15,16,16,116,17,16,111,16,15,16,15,73,15,1111
16:46:56,292.00,15,16,15,114,16,47,137,16,16,16,15,69,16,1111
16:46:59,291.00,16,15,15,113,17,22,148,16,15,17,16,77,15,1111
16:47:01,290.00,16,18,17,115,16,26,130,17,16,16,17,94,16,1111
16:47:03,290.00,17,16,15,115,16,36,122,16,15,16,16,97,16,1111
16:47:05,292.00,16,16,16,114,16,42,122,16,16,16,16,99,16,1111
16:47:07,295.00,16,15,16,116,16,38,137,16,16,15,16,96,15,1111
16:47:09,294.00,16,16,16,114,17,45,136,17,16,16,15,101,16,1111
16:47:11,293.00,16,16,16,127,44,16,96,16,16,16,16,103,15,1111
16:47:14,292.00,15,16,15,111,28,45,101,16,15,16,15,111,16,1111
16:47:16,292.00,16,16,16,112,16,48,162,16,17,16,15,78,17,1111
16:47:18,286.00,16,16,15,16,16,16,15,16,16,15,16,499,16,1111
16:50:01,290.00,356,16,16,16,16,16,59,16,16,16,16,523,16,1
16:50:03,278.00,343,16,15,16,16,16,54,16,16,16,16,532,15,1
16:50:05,279.00,347,16,15,15,15,16,75,16,15,16,16,534,15,1
16:50:07,276.00,345,16,15,15,15,15,53,15,18,17,15,536,16,1
16:50:09,272.00,349,16,16,15,16,15,73,16,15,24,15,537,15,1
16:50:11,271.00,349,16,15,15,15,16,72,16,15,25,16,539,16,1
16:50:13,269.00,348,15,15,15,16,16,73,16,16,27,15,540,16,1
16:50:16,269.00,350,15,15,16,15,16,67,16,16,32,15,538,16,1
16:50:18,268.00,351,15,16,15,16,15,76,16,15,33,16,538,16,1
16:50:20,267.00,354,16,15,15,16,16,64,16,16,34,15,539,16,1
16:50:22,268.00,354,16,16,16,16,16,67,16,19,35,15,538,15,1
16:50:24,267.00,355,16,16,15,15,15,58,16,18,36,15,537,15,1
16:50:26,268.00,353,16,16,17,16,16,83,16,16,34,16,538,15,1
16:50:28,268.00,355,16,15,15,16,16,85,16,16,41,16,536,15,1
16:50:31,269.00,354,16,16,16,15,16,76,16,15,43,16,539,15,1
16:50:48,15.00,280,16,15,42,177,154,15,15,15,16,16,336,16,11
16:50:50,15.00,16,14,15,15,14,15,16,15,14,14,15,15,15,11
16:50:52,17.00,379,15,15,16,208,108,16,16,17,15,16,440,16,11
16:50:54,16.00,368,16,15,16,245,103,16,16,15,16,15,454,42,11
16:50:56,16.00,371,16,15,16,222,109,15,15,16,16,16,452,34,11
16:50:58,15.00,375,15,14,15,245,122,15,16,15,16,15,455,35,11
16:51:01,15.00,380,16,15,15,256,93,16,16,15,15,16,456,39,11
16:51:03,15.00,381,15,15,17,252,128,15,15,15,16,15,457,37,11
16:51:05,16.00,384,15,15,16,218,112,12,15,16,16,16,455,34,11
16:51:07,16.00,386,16,15,16,223,132,16,16,15,15,15,455,34,11
16:51:09,16.00,386,15,16,16,232,129,16,16,16,16,15,455,36,11
16:51:11,16.00,384,15,16,16,238,126,15,15,16,15,15,457,38,11
16:51:26,15.00,232,15,15,69,15,14,133,15,16,15,15,675,334,11
16:51:28,16.00,228,15,16,75,16,16,101,15,16,15,15,673,333,11
16:51:30,15.00,225,15,15,82,16,16,72,15,16,16,16,674,344,11
16:51:33,16.00,224,15,15,83,15,16,77,16,15,16,15,674,345,11
16:51:35,17.00,227,15,15,89,16,16,73,16,15,16,16,674,347,11
16:51:37,15.00,228,15,15,92,16,15,79,15,15,14,15,675,350,11
16:51:39,15.00,229,16,17,98,17,15,81,15,16,15,16,674,351,11
16:51:41,16.00,230,16,16,98,16,17,82,16,15,15,15,675,350,11
16:51:43,16.00,228,15,16,101,15,15,83,16,16,15,17,674,351,11
16:51:45,15.00,230,17,16,98,15,16,74,15,15,15,15,676,353,11
16:51:48,15.00,229,17,16,113,16,17,71,16,15,16,16,676,354,11
16:52:11,17.00,15,15,41,15,15,15,15,15,79,15,15,636,123,111
16:52:13,16.00,15,15,65,15,15,15,15,15,83,34,15,641,120,111
16:52:15,15.00,15,16,72,15,15,15,15,15,80,48,15,642,120,111
16:52:18,16.00,15,15,72,16,15,15,14,15,82,59,15,643,122,111
16:52:20,16.00,15,15,56,16,16,16,16,15,76,15,16,623,167,111
16:52:22,16.00,15,16,84,15,15,15,14,15,78,16,16,627,178,111
16:52:24,16.00,15,16,70,16,15,15,16,16,85,47,15,642,107,111
16:52:26,16.00,16,15,70,16,16,16,15,14,86,59,17,646,112,111
16:52:28,16.00,16,16,83,16,16,16,16,15,79,69,15,644,115,111
16:52:30,17.00,16,16,79,15,16,16,17,16,81,74,16,646,118,111
16:52:33,16.00,16,16,86,15,16,16,16,15,78,80,16,646,120,111
16:52:35,15.00,16,16,81,16,16,16,15,14,83,52,15,649,118,111
16:52:37,16.00,16,15,65,15,15,15,16,14,84,61,15,651,116,111
16:52:39,16.00,15,14,68,16,15,17,16,16,79,15,15,637,150,111
16:52:56,16.00,50,16,16,139,50,273,325,16,16,16,15,16,395,1111
16:52:58,16.00,50,16,15,151,68,303,337,35,14,16,16,15,401,1111
16:53:00,16.00,16,16,16,174,85,304,321,41,16,15,16,16,387,1111
16:53:03,17.00,26,15,15,167,81,293,356,49,15,15,15,16,409,1111
16:53:05,16.00,30,15,15,173,75,308,360,49,16,15,15,16,410,1111
16:53:07,16.00,25,15,16,174,85,305,362,44,16,16,16,16,411,1111
16:53:09,16.00,33,17,16,172,82,321,368,55,16,17,15,15,411,1111
16:53:11,16.00,28,15,15,168,94,304,366,57,15,16,16,15,415,1111
16:53:13,16.00,28,15,15,180,92,314,366,63,16,16,15,16,417,1111
16:53:15,16.00,32,16,16,181,94,318,364,60,15,16,16,15,419,1111
16:53:18,16.00,31,15,15,178,95,322,368,65,16,16,15,15,420,1111
16:53:20,16.00,36,15,16,179,89,324,369,66,16,15,16,15,422,1111
16:53:22,16.00,40,16,16,171,80,325,373,63,16,15,15,16,424,1111
16:53:24,17.00,29,15,15,166,89,309,367,62,16,16,15,16,430,1111
16:53:26,16.00,26,15,16,154,54,295,379,61,16,16,16,16,438,1111
16:53:28,15.00,48,15,15,141,86,274,367,61,16,16,15,50,436,11
16:54:05,16.00,361,15,16,15,16,69,89,27,57,15,15,644,222,1
16:54:07,17.00,321,15,14,15,14,90,110,15,36,15,16,666,243,1
16:54:09,15.00,311,15,16,15,16,90,156,15,24,15,15,638,235,1
16:54:11,15.00,317,15,15,37,15,93,165,15,30,15,16,644,253,1
16:54:13,15.00,353,15,15,15,15,148,164,14,33,16,16,648,249,1
16:54:15,16.00,342,16,16,46,15,95,164,16,33,16,16,638,254,1
16:54:17,16.00,326,15,15,50,14,184,129,16,36,16,15,645,233,1
16:54:47,15.00,47,16,15,70,15,16,82,106,14,16,15,594,303,11
16:54:50,16.00,50,16,16,104,15,16,71,128,15,16,16,591,298,11
